A=8152 B=5866 C=6438 X=962352871 Y=4491528707 Z=15464265843 M=7249
A=7428 B=6401 C=7191 X=808418557 Y=6284789295 Z=80195316904 M=4213
A=8513 B=3531 C=8475 X=734763024 Y=3283138745 Z=80340982055 M=9374
A=8641 B=8892 C=5831 X=651564286 Y=1367945614 Z=14753568085 M=1714
A=4566 B=5363 C=8559 X=221704772 Y=3277175917 Z=83842287146 M=8395
A=3023 B=7781 C=5032 X=565663420 Y=5270215999 Z=66511128995 M=4795
A=3501 B=7952 C=5345 X=384230133 Y=9014536845 Z=20726921144 M=9154
A=6385 B=9206 C=9361 X=919559847 Y=5132540806 Z=59016274980 M=3851
A=6984 B=9609 C=6041 X=505284691 Y=7736514315 Z=89227034417 M=8313
A=4178 B=3423 C=8924 X=446352528 Y=3360806401 Z=86383867890 M=2175
A=3986 B=9468 C=9721 X=200528919 Y=5614323349 Z=28023133572 M=4406
A=6915 B=7160 C=8919 X=121973855 Y=9008615986 Z=61330869188 M=7952
A=8011 B=6943 C=8208 X=797531181 Y=4315296623 Z=65970128486 M=4349
A=8443 B=8084 C=6165 X=639121294 Y=8594037113 Z=84374690268 M=1065
A=2226 B=5767 C=8871 X=954219056 Y=1196870859 Z=94338021976 M=7976
A=5717 B=9523 C=6947 X=829340978 Y=8843738761 Z=11036201286 M=4810
A=3809 B=9589 C=7055 X=789260452 Y=4651990712 Z=90912719014 M=5112
A=6657 B=7633 C=8811 X=599341376 Y=9464552842 Z=20039885241 M=3702
A=8095 B=3413 C=6226 X=315219163 Y=5078981256 Z=21825899318 M=7248
A=5113 B=5156 C=5795 X=765041891 Y=3968873347 Z=62945057914 M=1003
A=9402 B=6675 C=5015 X=227794137 Y=6839674466 Z=68062681021 M=2890
A=6107 B=3901 C=8676 X=764217247 Y=5785308719 Z=43990530761 M=9829
A=9573 B=6044 C=9272 X=987471635 Y=3770545146 Z=73576363330 M=2756
A=9713 B=8993 C=8275 X=555503200 Y=9738542941 Z=82911479477 M=7665
A=2052 B=3337 C=9951 X=201180165 Y=1841807812 Z=87481221803 M=4676
A=4881 B=8679 C=8841 X=618611486 Y=6572127945 Z=89670982188 M=4755
A=4193 B=3346 C=5401 X=882861571 Y=3184233240 Z=87088701380 M=3455
A=3647 B=3520 C=5132 X=332812368 Y=9651611659 Z=99292703279 M=7428
A=7310 B=3553 C=5252 X=788829979 Y=2211400743 Z=51537284281 M=4628
A=7712 B=8044 C=5997 X=598466922 Y=9033319305 Z=54449687418 M=6081
A=9795 B=9803 C=8292 X=192505841 Y=1497088734 Z=98909412363 M=4378
A=6710 B=7071 C=6652 X=940137455 Y=3368947723 Z=75651179057 M=5638
A=9503 B=7723 C=8383 X=592323502 Y=3689418320 Z=40843008242 M=1071
A=7219 B=8605 C=6492 X=865318320 Y=9912686667 Z=51253506917 M=2235
A=7221 B=9096 C=6498 X=566554416 Y=6877208912 Z=34711495991 M=1267
A=4712 B=4626 C=9380 X=126801036 Y=3125041029 Z=15649327443 M=9205
A=5504 B=9263 C=6401 X=791624428 Y=3883264895 Z=48344612343 M=3125
A=9843 B=8637 C=8290 X=292851566 Y=5059685565 Z=12411006374 M=7321
A=7635 B=3556 C=8999 X=618577610 Y=2644860096 Z=26062545726 M=9246
A=3630 B=7518 C=8326 X=767012362 Y=5455468894 Z=12691773803 M=3864
A=2790 B=6865 C=7798 X=709937477 Y=9054968865 Z=14110151768 M=9319
A=8061 B=3185 C=8589 X=484968631 Y=6510677805 Z=14561972783 M=1217
A=3942 B=7065 C=9344 X=836080478 Y=4760503932 Z=37125398762 M=3821
A=8500 B=9378 C=6097 X=118431360 Y=8274259466 Z=25242265436 M=7708
A=4307 B=5161 C=9325 X=589717188 Y=5794775191 Z=20325618945 M=5632
A=6464 B=5062 C=6929 X=756444500 Y=7482664536 Z=51320226384 M=2007
A=2880 B=8657 C=8415 X=646017190 Y=5474975399 Z=39144008730 M=7580
A=9039 B=5381 C=7671 X=528196852 Y=2115091494 Z=95357179608 M=9272
A=2590 B=7438 C=8049 X=820262850 Y=7758369777 Z=74436829397 M=1074
A=2882 B=9336 C=9989 X=675884714 Y=8733824543 Z=35345682548 M=1255
A=8312 B=3224 C=7461 X=121947795 Y=2550638142 Z=67034882262 M=2291
A=7784 B=5095 C=7589 X=719671524 Y=2410483748 Z=24269552944 M=4822
A=4905 B=8734 C=7008 X=573679017 Y=9921778842 Z=73469901874 M=9714
A=3730 B=8313 C=8586 X=504520786 Y=8497128422 Z=47068609223 M=6114
A=7513 B=8313 C=8015 X=851037643 Y=5532806586 Z=57009876524 M=6016
A=2672 B=7119 C=9708 X=645304209 Y=6654398768 Z=92634563602 M=8766
A=6606 B=6873 C=8208 X=267118029 Y=3679593002 Z=10085382882 M=5461
A=3837 B=4247 C=6973 X=670733176 Y=5563708503 Z=65498386406 M=5308
A=2390 B=3782 C=7570 X=567129551 Y=6905266013 Z=59205067493 M=4971
A=5968 B=3616 C=8551 X=959821845 Y=8579537880 Z=27555050795 M=8207
A=9859 B=5081 C=8922 X=465853465 Y=5961956821 Z=43320934655 M=8353
A=6329 B=7700 C=9611 X=288287585 Y=9550714050 Z=56096388034 M=5049
A=7947 B=8944 C=8791 X=228709629 Y=9991889330 Z=85004638439 M=9354
A=7333 B=7298 C=9963 X=261370847 Y=8524740245 Z=60477869785 M=5982
A=5460 B=8863 C=5719 X=993620209 Y=8991903431 Z=29136091502 M=9304
A=7337 B=7198 C=7887 X=672433041 Y=1749850225 Z=56227352180 M=3018
A=9676 B=6643 C=6253 X=354890908 Y=8641659004 Z=29807150222 M=5766
A=6359 B=5513 C=8036 X=879249537 Y=3205705798 Z=14477771801 M=6733
A=5713 B=5103 C=6568 X=985281780 Y=4397165861 Z=70624869823 M=4093
A=8401 B=8608 C=6727 X=623943693 Y=7734859691 Z=47496358340 M=7178
A=9555 B=8221 C=5085 X=624385486 Y=7120059535 Z=75981637034 M=9100
A=9664 B=8829 C=5618 X=342378190 Y=4528547485 Z=84956248220 M=4449
A=9850 B=9327 C=5212 X=853697427 Y=1701721922 Z=77244539460 M=8808
A=4672 B=6169 C=9460 X=212011740 Y=1423139231 Z=95526974805 M=5059
A=8796 B=7419 C=5453 X=159310246 Y=2607737524 Z=60582621000 M=9697
A=6228 B=6002 C=9541 X=815435329 Y=3399449651 Z=11227034917 M=2467
A=7403 B=9372 C=9870 X=459708418 Y=9021624663 Z=39073647419 M=8946
A=9271 B=7811 C=6473 X=370232455 Y=7978205083 Z=23946088728 M=7562
A=4973 B=4806 C=9063 X=433314561 Y=5167142083 Z=19761143723 M=2168
A=4476 B=8806 C=5430 X=568076109 Y=3720154978 Z=85843348044 M=7763
A=7056 B=9387 C=6433 X=861987760 Y=7756524241 Z=74786946074 M=9210
A=9612 B=9460 C=6677 X=157831327 Y=6809833996 Z=21794237697 M=8117
A=4632 B=7184 C=5663 X=860412109 Y=2378618009 Z=98042047638 M=9377
A=9553 B=6347 C=7258 X=395900159 Y=9497816115 Z=92185488335 M=6601
A=8523 B=4394 C=7647 X=849352262 Y=1034721771 Z=98575387344 M=3752
A=3255 B=3628 C=7095 X=259381169 Y=8459562276 Z=22309398557 M=2662
A=9975 B=5404 C=6990 X=738305823 Y=6721427280 Z=58744392703 M=1510
A=7729 B=3027 C=6991 X=291871930 Y=8914106240 Z=82519206896 M=6547
A=4259 B=6169 C=8037 X=191081850 Y=3440470578 Z=36315687706 M=5291
A=6899 B=7616 C=6829 X=575744964 Y=7787958491 Z=98515756845 M=4176
A=2418 B=4196 C=9558 X=838308699 Y=3924466968 Z=34546385523 M=7438
A=2377 B=7324 C=8822 X=594284765 Y=6319861378 Z=55369917393 M=6148
A=6931 B=5024 C=8471 X=923444038 Y=1672266369 Z=45210464704 M=4500
A=2082 B=4592 C=8402 X=840997832 Y=1485373958 Z=82297970942 M=2561
A=9977 B=7054 C=7111 X=577824483 Y=9217948573 Z=24154574569 M=8018
A=8159 B=8276 C=5205 X=391249958 Y=3336655077 Z=26459604206 M=5272
A=7279 B=5359 C=8604 X=235892435 Y=3511140392 Z=14063536176 M=7671
A=3343 B=8091 C=7448 X=781457102 Y=5886215724 Z=71489338484 M=7810
A=9906 B=5319 C=5966 X=395533811 Y=7338923210 Z=50922599968 M=1579
A=9457 B=9997 C=7275 X=703206464 Y=9666980657 Z=20196005495 M=8913
A=8988 B=6329 C=6656 X=703668258 Y=4752470792 Z=65523026500 M=2144
A=5430 B=6849 C=9107 X=788620180 Y=3159929298 Z=18526461227 M=7808
A=9775 B=7218 C=6295 X=709546243 Y=9188490251 Z=93691404125 M=5345
A=8454 B=7910 C=8574 X=750579061 Y=1064767521 Z=56938549111 M=5329
A=5527 B=7366 C=5591 X=750471178 Y=9372987117 Z=40538507186 M=3507
A=6032 B=9755 C=8537 X=695513529 Y=7065370352 Z=80567245673 M=2804
A=8060 B=5606 C=9450 X=216362122 Y=2961278494 Z=82511338705 M=1623
A=6660 B=8240 C=8847 X=792303038 Y=1864630893 Z=73890762757 M=3847
A=3835 B=8453 C=8957 X=219657183 Y=2834032036 Z=74552051069 M=9855
A=9789 B=9714 C=8114 X=169831593 Y=9799173954 Z=62569549850 M=8995
A=5134 B=5704 C=5034 X=850228566 Y=9601714227 Z=39692273059 M=1922
A=5534 B=4911 C=9434 X=108556264 Y=3950704425 Z=11328908716 M=6977
A=2892 B=5271 C=8356 X=551989644 Y=7435771120 Z=20422910019 M=4652
A=6273 B=3239 C=8714 X=282904021 Y=8056788127 Z=88302419886 M=4313
A=7318 B=5990 C=5397 X=632997285 Y=9498532635 Z=92549447995 M=1128
A=6352 B=5935 C=7042 X=615242696 Y=1486261203 Z=29425961866 M=6839
A=6292 B=3845 C=7884 X=994672772 Y=5040126839 Z=48383527489 M=7269
A=9018 B=8098 C=9874 X=305662686 Y=6048949601 Z=60851993554 M=9707
A=9041 B=5713 C=9094 X=141558626 Y=5233023476 Z=76400330034 M=3417
A=8708 B=4655 C=9559 X=588281937 Y=2307258845 Z=39374315198 M=2201
A=5465 B=9362 C=5384 X=128575490 Y=3018815454 Z=61701634982 M=9885
A=6219 B=5026 C=7379 X=404333588 Y=9815218893 Z=25685760461 M=6591
A=6090 B=9778 C=6958 X=855463407 Y=1680924170 Z=52308618165 M=5323
A=5691 B=7958 C=6103 X=941068235 Y=1448980321 Z=60558364986 M=5143
A=3885 B=7938 C=7980 X=982716828 Y=2025561616 Z=89534875453 M=5447
A=3628 B=8297 C=7831 X=607286885 Y=8955746419 Z=88774843219 M=2980
A=4056 B=5935 C=9545 X=379830620 Y=1954576813 Z=29512882862 M=2394
A=5928 B=9186 C=6213 X=122357027 Y=8656605804 Z=54531910384 M=1341
A=8349 B=4228 C=5257 X=950924400 Y=1882711158 Z=94999254625 M=2327
A=6218 B=8652 C=8555 X=249655127 Y=3267796096 Z=66932812963 M=8867
A=2296 B=5801 C=6348 X=634867427 Y=6813650437 Z=81998522306 M=6523
A=8618 B=6448 C=5168 X=414000885 Y=9320934815 Z=27855612311 M=5895
A=9945 B=6092 C=7392 X=737223634 Y=1122282990 Z=32914535289 M=5356
A=3183 B=9867 C=8186 X=630156783 Y=2779175138 Z=27838966777 M=1935
A=9281 B=9073 C=6971 X=737022155 Y=2717584459 Z=53499000774 M=3881
A=8796 B=7208 C=7545 X=835458237 Y=1245746631 Z=86279879278 M=4624
A=7936 B=7489 C=8672 X=843945288 Y=1846675037 Z=73552636121 M=5839
A=5965 B=7538 C=7537 X=779871598 Y=9464211767 Z=42925109631 M=6344
A=5803 B=7032 C=6354 X=374905148 Y=6509178738 Z=21216631498 M=6829
A=7023 B=5596 C=9719 X=629128224 Y=1949237235 Z=33432588816 M=8851
A=7762 B=6668 C=9669 X=307558976 Y=8069802083 Z=35751081368 M=1347
A=6723 B=6047 C=6005 X=623096022 Y=7501709816 Z=98057049435 M=4521
A=8994 B=3879 C=7895 X=423597683 Y=5358639735 Z=86825673590 M=8156
A=8817 B=4090 C=5835 X=623473708 Y=9989128137 Z=52142989003 M=7952
A=3548 B=9388 C=7440 X=351620417 Y=9072490066 Z=71973598951 M=6011
A=4305 B=8309 C=8530 X=744002863 Y=7545175413 Z=31016488254 M=8868
A=5754 B=5605 C=5203 X=444108080 Y=3725201052 Z=28742569820 M=4495
A=3857 B=8736 C=8379 X=833078896 Y=5096208728 Z=53804896804 M=9182
A=7022 B=7646 C=7373 X=460676124 Y=8213857771 Z=41421522846 M=1482
A=6181 B=9207 C=8843 X=424547553 Y=1673742083 Z=93488981532 M=9042
A=2871 B=9921 C=9752 X=912697687 Y=7608561994 Z=94741956098 M=1775
A=3978 B=9175 C=6063 X=788797111 Y=8079931910 Z=84849964496 M=7881
A=9550 B=6751 C=8686 X=977607733 Y=5461249658 Z=55753660374 M=8281
A=2856 B=9673 C=8119 X=214560171 Y=9563206344 Z=18178343583 M=4657
A=2302 B=9370 C=8020 X=635441765 Y=3099430606 Z=45108574168 M=6214
A=7822 B=5429 C=8232 X=399520331 Y=9855995215 Z=82705645402 M=6235
A=5660 B=8617 C=8951 X=917390260 Y=9962907921 Z=15233277549 M=2105
A=4113 B=4464 C=8113 X=634728046 Y=4587843153 Z=49294852329 M=4327
A=3655 B=8029 C=6498 X=705028544 Y=2270186801 Z=14215522861 M=2405
A=5439 B=5190 C=8381 X=931273987 Y=3950387294 Z=44876040060 M=4587
A=4671 B=9417 C=6667 X=251544122 Y=6848677940 Z=51451202903 M=1075
A=7324 B=6701 C=9602 X=274760741 Y=1763248738 Z=78226596359 M=4470
A=4555 B=5789 C=7417 X=873859247 Y=2043969966 Z=63638122221 M=2817
A=9523 B=5670 C=9968 X=723617941 Y=8839756509 Z=34657015544 M=8103
A=8088 B=7516 C=6141 X=299101482 Y=4079132630 Z=96641931311 M=3843
A=7025 B=6271 C=5376 X=336299277 Y=8472283003 Z=65603011099 M=7679
A=5689 B=7710 C=8825 X=228968815 Y=8628540825 Z=49054180199 M=6637
A=7720 B=7545 C=7994 X=403061981 Y=1636218475 Z=40377676077 M=8287
A=9973 B=7278 C=9853 X=934405708 Y=3233662697 Z=52722693279 M=8124
A=9223 B=7713 C=8994 X=392930814 Y=7910059207 Z=46436933856 M=8039
A=5502 B=7126 C=8631 X=546744155 Y=5573952529 Z=88215544481 M=5966
A=4847 B=8975 C=5683 X=579793541 Y=3034191965 Z=38152404416 M=8243
A=9869 B=4333 C=7842 X=899248443 Y=7707427086 Z=11453943347 M=1869
A=6593 B=9091 C=6164 X=421498577 Y=6422967509 Z=36057540772 M=6912
A=7206 B=9710 C=5536 X=751791130 Y=5367660349 Z=98886120563 M=2176
A=5770 B=3212 C=6798 X=673075228 Y=3626132992 Z=38358317731 M=4959
A=8268 B=7425 C=8459 X=376855936 Y=4117279303 Z=68972193014 M=9582
A=6675 B=4281 C=8496 X=378422177 Y=4224774935 Z=29939756947 M=1655
A=2683 B=4225 C=5016 X=832822191 Y=4798339236 Z=58892424232 M=6515
A=6567 B=8659 C=7071 X=697322660 Y=2085917094 Z=86341338745 M=7913
A=5857 B=6289 C=9413 X=957985048 Y=3113032583 Z=23044492450 M=9592
A=2876 B=5503 C=6172 X=870859230 Y=7260128819 Z=51760073141 M=7332
A=8119 B=6167 C=5958 X=747203581 Y=4517900123 Z=92073046966 M=2760
A=5417 B=9710 C=5320 X=106923758 Y=7302450791 Z=68012040284 M=8681
A=2000 B=4000 C=8000 X=707829789 Y=1845269529 Z=56706555200 M=2000
A=9343 B=5850 C=8051 X=246972947 Y=5013200931 Z=12298172315 M=9861
A=7497 B=6945 C=7275 X=542362136 Y=3856121251 Z=52723259513 M=8713
A=2439 B=8485 C=8847 X=310185822 Y=8999972084 Z=81065941411 M=2418
A=5789 B=5811 C=5609 X=476926710 Y=3887809190 Z=91099241499 M=1930
A=8475 B=4279 C=6283 X=950903489 Y=1767570550 Z=48337834994 M=6187
A=2182 B=9013 C=8887 X=250633721 Y=4117337022 Z=86290848030 M=4075
A=3035 B=6752 C=8909 X=825680319 Y=9356881079 Z=30883416104 M=8244
A=9073 B=4755 C=7430 X=330592158 Y=3543029256 Z=22116590866 M=7689
A=9681 B=6336 C=6316 X=804152495 Y=1698368795 Z=34200814431 M=7491
A=6730 B=9378 C=9419 X=761688418 Y=3070080441 Z=36569029659 M=3699
A=4887 B=7610 C=9676 X=609658946 Y=7445876621 Z=54458101741 M=1362
A=6579 B=3724 C=8791 X=218982022 Y=2555652801 Z=27414695455 M=2951
A=4629 B=5197 C=8087 X=866552662 Y=2778621425 Z=51029553356 M=2396
A=4423 B=9461 C=5467 X=979856214 Y=7223453987 Z=50167452974 M=6703
A=8439 B=3754 C=8842 X=901113038 Y=2097795588 Z=91448181690 M=4524
A=7588 B=3637 C=7813 X=420877967 Y=1579471678 Z=91079440767 M=1991
A=5632 B=5627 C=6882 X=467342993 Y=4270416981 Z=52971130867 M=2229
A=2088 B=5584 C=6994 X=500345538 Y=9926188675 Z=19361990994 M=8147
A=6119 B=3563 C=6930 X=466340568 Y=2963384819 Z=57882829605 M=7349
A=3686 B=4266 C=9549 X=701199930 Y=6861304723 Z=34423694307 M=9152
A=6399 B=6475 C=8185 X=770190888 Y=5545680369 Z=28494819750 M=9396
A=7748 B=5261 C=6109 X=142775006 Y=6243543588 Z=38579173232 M=7115
A=9338 B=6765 C=5205 X=629626571 Y=1284585976 Z=34107283797 M=8848
A=8962 B=7472 C=8406 X=380650512 Y=1901576751 Z=29108070174 M=3609
A=2164 B=5583 C=8043 X=674164519 Y=3458608607 Z=34717327923 M=4351
A=3548 B=4776 C=6069 X=735480332 Y=2749025439 Z=26203362485 M=3001
A=8635 B=4042 C=7543 X=650652100 Y=7284328069 Z=15134610184 M=3883
A=9503 B=3403 C=8197 X=141755900 Y=5895913325 Z=36293150358 M=6330
A=2489 B=8370 C=7038 X=580481917 Y=6188491445 Z=77159069110 M=1167
A=8665 B=3258 C=8046 X=920016138 Y=1593912634 Z=16435708981 M=3221
A=2779 B=3383 C=5288 X=809156078 Y=4751246797 Z=23975712387 M=9938
A=9497 B=6567 C=8175 X=960249681 Y=8515760118 Z=99552438364 M=5686
A=8870 B=5026 C=5479 X=895083743 Y=5048416740 Z=53096875712 M=7663
A=3301 B=9219 C=9329 X=558495080 Y=7212967120 Z=89467213527 M=9225
A=4328 B=8729 C=6389 X=339400492 Y=1860162829 Z=52641073773 M=3229
A=5349 B=3587 C=7054 X=398851722 Y=3629505729 Z=33710132734 M=4785
A=2608 B=5322 C=6338 X=854116461 Y=3041747726 Z=96383790427 M=9251
A=9986 B=3273 C=9137 X=966478105 Y=9814453808 Z=87190704256 M=2369
A=7730 B=5829 C=7417 X=684820999 Y=1445356473 Z=78739191090 M=1960
A=4422 B=7442 C=7268 X=179191703 Y=3811351900 Z=69078304616 M=9259
A=2738 B=6189 C=5106 X=866913101 Y=7238687863 Z=61147169209 M=9700
A=3394 B=6567 C=7509 X=246447916 Y=2082676085 Z=97266475110 M=5418
A=2344 B=3107 C=5603 X=583277775 Y=6767115459 Z=98234216271 M=8665
A=7738 B=7051 C=7750 X=152464945 Y=7118464161 Z=42846851018 M=7068
A=4820 B=3561 C=8003 X=260573048 Y=9968792800 Z=80277456283 M=8151
A=6199 B=8514 C=5848 X=435843795 Y=8512388104 Z=96397892372 M=2372
A=2576 B=5233 C=9993 X=151002201 Y=7678524814 Z=35322694276 M=9065
A=9854 B=4615 C=6600 X=306480151 Y=4470722594 Z=43972282911 M=3793
A=8398 B=3556 C=8722 X=695743422 Y=4331283403 Z=60800338440 M=4211
A=4222 B=8143 C=9565 X=477496223 Y=1708682126 Z=68857840655 M=7993
A=6806 B=3511 C=8404 X=533529411 Y=2170510539 Z=96709213126 M=1882
A=8941 B=4406 C=5807 X=433104948 Y=2103550273 Z=60004467977 M=7390
A=4025 B=5615 C=9969 X=118488079 Y=5973811956 Z=62444526939 M=8394
A=5930 B=7371 C=8801 X=607835823 Y=3283251981 Z=85132015090 M=3797
A=6059 B=7129 C=5569 X=879623748 Y=1093809350 Z=29555479767 M=6566
A=2026 B=8512 C=5515 X=464430392 Y=6232166862 Z=10888780311 M=1057
A=6256 B=9065 C=6795 X=175449474 Y=4147438689 Z=80424855401 M=9371
A=8820 B=5587 C=6705 X=747967941 Y=3691443674 Z=68386207973 M=5728
A=6425 B=5976 C=6888 X=686825656 Y=4653083463 Z=99864851763 M=7313
A=2384 B=5288 C=9013 X=531073701 Y=7638892182 Z=33566938405 M=2859
A=3097 B=3934 C=9683 X=430531617 Y=8186097383 Z=50462718382 M=3855
A=4618 B=6631 C=8521 X=756397419 Y=7809013785 Z=19922739002 M=9237
A=9847 B=9348 C=9607 X=660250918 Y=3542131523 Z=89099309691 M=3040
A=5867 B=8243 C=9532 X=388827065 Y=2579125962 Z=15132168416 M=8383
A=2246 B=9674 C=9525 X=970351935 Y=9210920515 Z=54800308608 M=8202
A=5983 B=6519 C=5040 X=900311989 Y=8769900802 Z=96446384476 M=3167
A=4090 B=3834 C=6614 X=972545006 Y=4139689613 Z=66034988878 M=4553
A=5358 B=9632 C=7831 X=725746941 Y=6089813853 Z=40220955080 M=1187
A=6209 B=9584 C=5963 X=704659250 Y=1528965375 Z=77983073972 M=6476
A=3618 B=8345 C=8512 X=528397686 Y=2165985074 Z=28085185942 M=7339
A=2974 B=3412 C=9748 X=187512512 Y=6676495929 Z=52252521165 M=1313
A=3878 B=9947 C=7116 X=625625949 Y=4470617114 Z=29839737845 M=6353
A=5098 B=7846 C=8317 X=417828909 Y=1463506436 Z=50121229201 M=8142
A=9880 B=8152 C=5248 X=720735933 Y=3042822046 Z=72464314508 M=7520
A=6441 B=3278 C=7459 X=592515967 Y=5345963067 Z=41718910888 M=6647
A=6636 B=4819 C=7358 X=271480395 Y=4885827668 Z=70181090892 M=6505
A=9860 B=5186 C=8149 X=334636609 Y=4833223632 Z=15075216464 M=2733
A=8635 B=3082 C=7239 X=129173536 Y=5275528598 Z=62417801063 M=8583
A=9583 B=4708 C=8869 X=943832905 Y=3635442270 Z=62697156232 M=2828
A=6087 B=9918 C=7107 X=473919073 Y=9552230477 Z=63012535390 M=4282
A=4502 B=7816 C=8124 X=579239412 Y=2055339950 Z=81437381001 M=8559
A=9234 B=4279 C=5042 X=494324595 Y=3301754991 Z=34203065035 M=5781
A=3110 B=7047 C=8770 X=916967935 Y=4067932659 Z=69304736206 M=4020
A=5988 B=4428 C=9792 X=820057181 Y=8394364574 Z=81341386063 M=2217
A=3533 B=3199 C=5843 X=635171080 Y=3874745135 Z=62925654622 M=9460
A=7184 B=8901 C=8476 X=203590959 Y=9388983731 Z=41281450777 M=1214
A=5335 B=8232 C=5092 X=794263571 Y=2645405964 Z=56297806137 M=1836
A=2374 B=8322 C=7794 X=856240608 Y=3004924821 Z=57156693327 M=7517
A=6101 B=6347 C=9665 X=796685032 Y=4809095364 Z=55427696246 M=7620
A=7402 B=7036 C=8180 X=227089666 Y=4890596589 Z=63302797596 M=2003
A=4562 B=9900 C=5207 X=948158336 Y=7308398777 Z=34410744132 M=4345
A=5488 B=8750 C=7562 X=619891845 Y=9535040350 Z=95037334922 M=3417
A=7111 B=5559 C=7556 X=660129368 Y=3674078538 Z=13922521043 M=8172
A=6797 B=8390 C=6058 X=179206441 Y=1759544306 Z=76264582267 M=9163
A=2213 B=9103 C=5563 X=893489848 Y=6041377140 Z=54307944823 M=7227
A=7442 B=5594 C=8491 X=289922393 Y=7267566770 Z=99258021828 M=3459
A=8809 B=3123 C=6219 X=921970391 Y=3908092495 Z=24497688865 M=8029
A=4983 B=7099 C=5198 X=702233686 Y=1039580029 Z=14851960233 M=5727
A=4751 B=4841 C=8329 X=246186839 Y=3135382644 Z=49097441836 M=5766
A=6406 B=7827 C=6651 X=340613262 Y=2182928774 Z=26648582579 M=4396
A=9301 B=5984 C=7908 X=679257098 Y=3287001068 Z=40128035706 M=9379
A=6294 B=9737 C=5570 X=855803696 Y=2915034857 Z=40434403947 M=5065
A=6385 B=9594 C=9416 X=568430909 Y=9078852285 Z=97883569672 M=6423
A=6599 B=3219 C=7220 X=628108335 Y=7996991673 Z=57467618857 M=3471
A=7019 B=9508 C=6184 X=377751398 Y=3487064813 Z=95275236265 M=7941
A=5523 B=5213 C=6643 X=500716827 Y=1672586272 Z=93074680423 M=9517
A=2489 B=3430 C=5116 X=544950732 Y=7665494422 Z=16724121239 M=3731
A=7948 B=7525 C=9559 X=653012223 Y=1406865438 Z=49608086169 M=4297
A=5567 B=8534 C=8529 X=441533594 Y=7622322845 Z=71967951305 M=4998
A=2996 B=5040 C=6414 X=287338954 Y=7352003649 Z=32587931563 M=5022
A=3928 B=7555 C=5324 X=748555407 Y=1808026568 Z=14231129974 M=6916
A=5182 B=9940 C=9334 X=509508065 Y=2048857185 Z=94950115575 M=6081
A=5875 B=4660 C=5106 X=271364638 Y=3630562406 Z=29002446525 M=4295
A=3156 B=5343 C=6165 X=442389858 Y=9755860676 Z=49278186802 M=3771
A=9303 B=7489 C=5055 X=280589347 Y=8252775521 Z=58259176906 M=1795
A=9029 B=5711 C=8950 X=213657584 Y=3918553444 Z=77926738496 M=1117
A=5170 B=7283 C=7709 X=855347232 Y=9250460991 Z=51703704476 M=3359
A=8169 B=8855 C=7009 X=551356518 Y=2268202651 Z=75925222577 M=4393
A=5655 B=9619 C=9726 X=233259005 Y=4979831622 Z=71392264865 M=3795
A=5328 B=6175 C=8001 X=261139977 Y=1246491068 Z=79908117128 M=2316
A=9795 B=5426 C=7621 X=389763669 Y=6479957110 Z=61253565777 M=8147
A=2609 B=9098 C=8024 X=621260179 Y=3108075082 Z=15010857121 M=7444
A=4429 B=6983 C=8760 X=110370008 Y=7137902940 Z=77789999947 M=2738
A=2573 B=6947 C=9510 X=152960006 Y=2419331892 Z=32369088406 M=3688
A=3744 B=6433 C=7280 X=585583073 Y=4272931996 Z=75722493277 M=4071
A=2287 B=8870 C=7665 X=465025562 Y=9082922172 Z=58846272113 M=1409
A=4734 B=4523 C=9543 X=591151159 Y=1698682953 Z=33581860234 M=2407
A=8286 B=7025 C=5564 X=938648261 Y=9076798056 Z=99178122680 M=2368
A=9430 B=9141 C=5289 X=836742582 Y=8984371163 Z=18470986184 M=6678
A=9166 B=7211 C=5935 X=802296089 Y=7929628373 Z=84789853664 M=4533
A=4250 B=4582 C=9137 X=620789827 Y=7722950060 Z=92697655118 M=4988
A=8212 B=3792 C=9953 X=529898827 Y=6584487943 Z=55672755936 M=1747
A=9001 B=7333 C=6384 X=336485059 Y=8435724825 Z=44331010397 M=5977
A=4100 B=6049 C=7614 X=384050740 Y=4959806593 Z=89685684842 M=4063
A=2287 B=8286 C=5642 X=961659447 Y=1321616741 Z=72973280405 M=4393
A=5884 B=3295 C=7154 X=502295662 Y=1098299078 Z=53360114283 M=7121
A=4370 B=3246 C=8183 X=236546733 Y=9904014079 Z=26524551517 M=3456
A=7404 B=8310 C=9077 X=127439683 Y=3446847817 Z=23644152785 M=4269
A=3967 B=6152 C=8318 X=595099312 Y=8142404835 Z=16458816312 M=1783
A=8213 B=3457 C=8336 X=513531109 Y=5502856894 Z=71565341838 M=5578
A=7495 B=7999 C=9277 X=636513362 Y=4871980959 Z=84641189957 M=3805
A=6998 B=6064 C=7988 X=135719897 Y=7787436550 Z=66964983238 M=5159
A=5616 B=8919 C=6071 X=908310705 Y=4126266615 Z=28594596874 M=7497
A=9578 B=4403 C=9128 X=432942088 Y=7234979061 Z=49246977366 M=3150
A=3947 B=3676 C=8125 X=922850049 Y=4961567908 Z=18938548576 M=2565
A=6562 B=9083 C=6523 X=126544165 Y=3955479479 Z=87272208295 M=7475
A=8510 B=9108 C=9158 X=156914575 Y=6938788001 Z=75361607456 M=1373
A=3340 B=7946 C=5006 X=946119772 Y=7586630673 Z=42641805294 M=7077
